"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
127.650,0.091,0.005,-1.047,0.0022,1.250E-4,-0.025,,,,,,,,127.650,0.031,-0.094,-0.017,7.5000E-4,-0.002,-4.167E-4,,,,,,,,,,,,,,,127.650,0.090,-0.346,3.211,0.0021,-0.008,0.077,127.650,-4.918,-2.587,3.997,-0.1174,-0.062,0.095,127.650,-5.988,-2.089,42.778,-0.1429,-0.050,1.021,127.650,0.580,-5.152,-45.867,0.0138,-0.123,-1.095,127.650,-0.957,1.330,36.600,-0.0228,0.032,0.874,127.650,-0.138,-3.293,5.376,-0.0033,-0.079,0.128,127.650,-5.283,4.854,15.237,-0.1261,0.116,0.364
127.700,0.090,-0.047,-1.047,0.0021,-0.001,-0.025,,,,,,,,127.700,0.027,-0.094,2.262E-14,6.3750E-4,-0.002,5.291E-16,,,,,,,,,,,,,,,127.700,0.075,-0.147,4.643,0.0018,-0.003,0.111,127.700,-5.049,-2.236,10.001,-0.1205,-0.053,0.239,127.700,-6.038,0.325,46.897,-0.1441,0.008,1.120,127.700,0.245,-7.220,-30.561,0.0059,-0.172,-0.730,127.700,-0.839,3.168,32.166,-0.0200,0.076,0.768,127.700,-0.305,-2.744,14.556,-0.0073,-0.065,0.347,127.700,-5.011,5.377,6.178,-0.1196,0.128,0.147
127.750,0.086,-0.099,-1.030,0.0021,-0.002,-0.025,,,,,,,,127.750,0.022,-0.094,2.220E-14,5.2500E-4,-0.002,5.378E-16,,,,,,,,,,,,,,,127.750,0.072,0.126,5.899,0.0017,0.003,0.141,127.750,-5.152,-1.571,15.533,-0.1230,-0.037,0.371,127.750,-5.958,2.806,45.256,-0.1422,0.067,1.080,127.750,-0.178,-8.336,-11.851,-0.0042,-0.199,-0.283,127.750,-0.630,4.686,23.702,-0.0150,0.112,0.566,127.750,-0.427,-1.754,21.345,-0.0102,-0.042,0.510,127.750,-4.728,5.435,-1.868,-0.1129,0.130,-0.045
127.800,0.080,-0.152,-0.960,0.0019,-0.004,-0.023,,,,,,,,127.800,0.017,-0.094,0.017,4.1250E-4,-0.002,4.167E-4,,,,,,,,,,,,,,,127.800,0.086,0.456,6.807,0.0021,0.011,0.163,127.800,-5.215,-0.639,19.775,-0.1245,-0.015,0.472,127.800,-5.749,5.042,38.293,-0.1372,0.120,0.914,127.800,-0.627,-8.399,6.824,-0.0150,-0.200,0.163,127.800,-0.352,5.671,11.589,-0.0084,0.135,0.277,127.800,-0.490,-0.487,24.731,-0.0117,-0.012,0.590,127.800,-4.455,5.116,-7.941,-0.1064,0.122,-0.190
127.850,0.071,-0.199,-0.838,0.0017,-0.005,-0.020,,,,,,,,127.850,0.013,-0.094,0.052,3.0000E-4,-0.002,0.001,,,,,,,,,,,,,,,127.850,0.116,0.822,7.226,0.0028,0.020,0.172,127.850,-5.223,0.476,22.009,-0.1247,0.011,0.525,127.850,-5.435,6.770,27.663,-0.1297,0.162,0.660,127.850,-1.049,-7.529,22.462,-0.0250,-0.180,0.536,127.850,-0.038,5.938,-2.967,-9.0000E-4,0.142,-0.071,127.850,-0.479,0.853,24.243,-0.0114,0.020,0.579,127.850,-4.208,4.555,-11.641,-0.1005,0.109,-0.278
127.900,0.060,-0.236,-0.716,0.0014,-0.006,-0.017,,,,,,,,127.900,0.008,-0.089,0.070,1.8750E-4,-0.002,0.002,,,,,,,,,,,,,,,127.900,0.168,1.199,6.999,0.0040,0.029,0.167,127.900,-5.169,1.649,21.869,-0.1234,0.039,0.522,127.900,-5.049,7.849,15.952,-0.1205,0.187,0.381,127.900,-1.403,-5.980,33.545,-0.0335,-0.143,0.801,127.900,0.270,5.393,-17.942,0.0064,0.129,-0.428,127.900,-0.399,2.068,19.984,-0.0095,0.049,0.477,127.900,-3.996,3.875,-13.055,-0.0954,0.093,-0.312
127.950,0.047,-0.267,-0.628,0.0011,-0.006,-0.015,,,,,,,,127.950,0.003,-0.084,0.052,7.5000E-5,-0.002,0.001,,,,,,,,,,,,,,,127.950,0.237,1.550,5.986,0.0057,0.037,0.143,127.950,-5.055,2.744,19.460,-0.1207,0.065,0.465,127.950,-4.628,8.299,5.952,-0.1105,0.198,0.142,127.950,-1.660,-4.016,40.195,-0.0396,-0.096,0.960,127.950,0.529,4.074,-30.910,0.0126,0.097,-0.738,127.950,-0.262,2.964,12.549,-0.0063,0.071,0.300,127.950,-3.820,3.183,-12.566,-0.0912,0.076,-0.300
128.000,0.033,-0.298,-0.559,7.8750E-4,-0.007,-0.013,,,,,,,,128.000,2.723E-15,-0.084,0.035,-1.0219E-17,-0.002,8.333E-4,,,,,,,,,,,,,,,128.000,0.325,1.827,4.136,0.0078,0.044,0.099,128.000,-4.888,3.655,15.341,-0.1167,0.087,0.366,128.000,-4.202,8.299,-0.279,-0.1003,0.198,-0.007,128.000,-1.810,-1.848,43.459,-0.0432,-0.044,1.037,128.000,0.699,2.152,-39.654,0.0167,0.051,-0.947,128.000,-0.086,3.398,2.985,-0.0021,0.081,0.071,128.000,-3.680,2.571,-10.734,-0.0879,0.061,-0.256
128.050,0.017,-0.325,-0.471,4.1250E-4,-0.008,-0.011,,,,,,,,128.050,-0.005,-0.084,0.052,-1.1250E-4,-0.002,0.001,,,,,,,,,,,,,,,128.050,0.424,1.990,1.536,0.0101,0.047,0.037,128.050,-4.681,4.309,10.315,-0.1118,0.103,0.246,128.050,-3.792,8.105,-1.955,-0.0905,0.193,-0.047,128.050,-1.847,0.398,44.349,-0.0441,0.009,1.059,128.050,0.756,-0.094,-42.726,0.0180,-0.002,-1.020,128.050,0.097,3.288,-7.226,0.0023,0.078,-0.173,128.050,-3.569,2.089,-8.308,-0.0852,0.050,-0.198
128.100,3.393E-15,-0.346,-0.367,8.2183E-17,-0.008,-0.009,,,,,,,,128.100,-0.009,-0.079,0.070,-2.2500E-4,-0.002,0.002,,,,,,,,,,,,,,,128.100,0.529,2.000,-1.623,0.0126,0.048,-0.039,128.100,-4.447,4.686,5.271,-0.1062,0.112,0.126,128.100,-3.394,7.959,0.541,-0.0810,0.190,0.013,128.100,-1.770,2.644,43.092,-0.0423,0.063,1.029,128.100,0.690,-2.335,-39.654,0.0165,-0.056,-0.947,128.100,0.261,2.639,-16.441,0.0062,0.063,-0.393,128.100,-3.476,1.749,-5.934,-0.0830,0.042,-0.142
128.150,-0.017,-0.361,-0.262,-4.1250E-4,-0.009,-0.006,,,,,,,,128.150,-0.013,-0.073,0.035,-3.0000E-4,-0.002,8.333E-4,,,,,,,,,,,,,,,128.150,0.630,1.838,-5.061,0.0150,0.044,-0.121,128.150,-4.203,4.807,0.960,-0.1004,0.115,0.023,128.150,-3.003,8.053,6.074,-0.0717,0.192,0.145,128.150,-1.580,4.796,38.956,-0.0377,0.115,0.930,128.150,0.511,-4.257,-30.945,0.0122,-0.102,-0.739,128.150,0.377,1.555,-23.126,0.0090,0.037,-0.552,128.150,-3.398,1.513,-3.822,-0.0811,0.036,-0.091
128.200,-0.036,-0.372,-0.140,-8.6250E-4,-0.009,-0.003,,,,,,,,128.200,-0.016,-0.073,-0.017,-3.7500E-4,-0.002,-4.167E-4,,,,,,,,,,,,,,,128.200,0.719,1.492,-8.412,0.0172,0.036,-0.201,128.200,-3.960,4.739,-2.199,-0.0945,0.113,-0.052,128.200,-2.603,8.514,12.881,-0.0621,0.203,0.308,128.200,-1.283,6.681,30.683,-0.0306,0.159,0.733,128.200,0.243,-5.582,-18.012,0.0058,-0.133,-0.430,128.200,0.426,0.199,-26.128,0.0102,0.005,-0.624,128.200,-3.327,1.367,-1.815,-0.0794,0.033,-0.043
128.250,-0.055,-0.377,-0.017,-0.0013,-0.009,-4.167E-4,,,,,,,,128.250,-0.020,-0.079,-0.052,-4.8750E-4,-0.002,-0.001,,,,,,,,,,,,,,,128.250,0.785,0.979,-11.257,0.0187,0.023,-0.269,128.250,-3.726,4.545,-4.102,-0.0890,0.109,-0.098,128.250,-2.168,9.372,18.396,-0.0517,0.224,0.439,128.250,-0.895,8.048,17.453,-0.0214,0.192,0.417,128.250,-0.075,-6.131,-3.002,-0.0018,-0.146,-0.072,128.250,0.399,-1.210,-24.888,0.0095,-0.029,-0.594,128.250,-3.264,1.325,0.209,-0.0779,0.032,0.005
128.300,-0.074,-0.372,0.070,-0.0018,-0.009,0.002,,,,,,,,128.300,-0.024,-0.079,-0.087,-5.6250E-4,-0.002,-0.002,,,,,,,,,,,,,,,128.300,0.822,0.335,-13.230,0.0196,0.008,-0.316,128.300,-3.503,4.288,-4.835,-0.0836,0.102,-0.115,128.300,-1.676,10.503,19.426,-0.0400,0.251,0.464,128.300,-0.451,8.597,-0.070,-0.0108,0.205,-0.002,128.300,-0.399,-5.864,11.659,-0.0095,-0.140,0.278,128.300,0.298,-2.435,-19.565,0.0071,-0.058,-0.467,128.300,-3.200,1.393,2.042,-0.0764,0.033,0.049
128.350,-0.093,-0.367,0.105,-0.0022,-0.009,0.003,,,,,,,,128.350,-0.028,-0.084,-0.140,-6.7500E-4,-0.002,-0.003,,,,,,,,,,,,,,,128.350,0.822,-0.382,-14.067,0.0196,-0.009,-0.336,128.350,-3.297,4.026,-4.520,-0.0787,0.096,-0.108,128.350,-1.118,11.582,13.177,-0.0267,0.276,0.315,128.350,0.002,8.116,-19.460,3.7500E-5,0.194,-0.465,128.350,-0.686,-4.875,23.981,-0.0164,-0.116,0.573,128.350,0.141,-3.278,-11.083,0.0034,-0.078,-0.265,128.350,-3.127,1.550,3.508,-0.0747,0.037,0.084
128.400,-0.110,-0.361,0.105,-0.0026,-0.009,0.003,,,,,,,,128.400,-0.031,-0.094,-0.175,-7.5000E-4,-0.002,-0.004,,,,,,,,,,,,,,,128.400,0.784,-1.115,-13.631,0.0187,-0.027,-0.325,128.400,-3.102,3.807,-3.334,-0.0741,0.091,-0.080,128.400,-0.501,12.132,-1.047,-0.0120,0.290,-0.025,128.400,0.399,6.592,-37.315,0.0095,0.157,-0.891,128.400,-0.905,-3.341,32.812,-0.0216,-0.080,0.783,128.400,-0.047,-3.602,-0.873,-0.0011,-0.086,-0.021,128.400,-3.046,1.754,4.817,-0.0727,0.042,0.115
128.450,-0.129,-0.356,0.105,-0.0031,-0.008,0.002,,,,,,,,128.450,-0.038,-0.105,-0.140,-9.0000E-4,-0.002,-0.003,,,,,,,,,,,,,,,128.450,0.708,-1.791,-11.886,0.0169,-0.043,-0.284,128.450,-2.919,3.670,-1.396,-0.0697,0.088,-0.033,128.450,0.132,11.697,-20.700,0.0032,0.279,-0.494,128.450,0.690,4.215,-50.632,0.0165,0.101,-1.209,128.450,-1.032,-1.461,37.786,-0.0246,-0.035,0.902,128.450,-0.239,-3.367,9.442,-0.0057,-0.080,0.225,128.450,-2.953,2.016,6.388,-0.0705,0.048,0.153
128.500,-0.146,-0.351,0.105,-0.0035,-0.008,0.002,,,,,,,,128.500,-0.042,-0.110,-0.087,-0.0010,-0.003,-0.002,,,,,,,,,,,,,,,128.500,0.600,-2.346,-8.936,0.0143,-0.056,-0.213,128.500,-2.739,3.644,1.257,-0.0654,0.087,0.030,128.500,0.713,10.074,-40.823,0.0170,0.241,-0.975,128.500,0.839,1.304,-57.509,0.0200,0.031,-1.373,128.500,-1.056,0.565,38.903,-0.0252,0.014,0.929,128.500,-0.402,-2.608,18.291,-0.0096,-0.062,0.437,128.500,-2.848,2.372,8.430,-0.0680,0.057,0.201
128.550,-0.163,-0.346,0.122,-0.0039,-0.008,0.003,,,,,,,,128.550,-0.049,-0.110,-0.052,-0.0012,-0.003,-0.001,,,,,,,,,,,,,,,128.550,0.468,-2.717,-5.079,0.0112,-0.065,-0.121,128.550,-2.559,3.770,4.695,-0.0611,0.090,0.112,128.550,1.177,7.430,-56.566,0.0281,0.177,-1.350,128.550,0.826,-1.785,-57.002,0.0197,-0.043,-1.361,128.550,-0.974,2.555,36.163,-0.0233,0.061,0.863,128.550,-0.514,-1.440,24.382,-0.0123,-0.034,0.582,128.550,-2.721,2.848,10.821,-0.0650,0.068,0.258
128.600,-0.181,-0.340,0.157,-0.0043,-0.008,0.004,,,,,,,,128.600,-0.053,-0.115,-0.035,-0.0013,-0.003,-8.333E-4,,,,,,,,,,,,,,,128.600,0.320,-2.869,-0.750,0.0076,-0.068,-0.018,128.600,-2.369,4.084,8.971,-0.0566,0.097,0.214,128.600,1.477,4.152,-65.380,0.0353,0.099,-1.561,128.600,0.653,-4.660,-48.991,0.0156,-0.111,-1.170,128.600,-0.793,4.314,29.426,-0.0189,0.103,0.703,128.600,-0.554,-0.042,26.843,-0.0132,-1.000E-3,0.641,128.600,-2.567,3.451,13.579,-0.0613,0.082,0.324
128.650,-0.198,-0.330,0.192,-0.0047,-0.008,0.005,,,,,,,,128.650,-0.060,-0.115,5.551E-16,-0.0014,-0.003,1.735E-17,,,,,,,,,,,,,,,128.650,0.173,-2.791,3.526,0.0041,-0.067,0.084,128.650,-2.158,4.639,13.875,-0.0515,0.111,0.331,128.650,1.598,0.649,-67.160,0.0381,0.016,-1.603,128.650,0.339,-6.922,-34.488,0.0081,-0.165,-0.823,128.650,-0.528,5.639,18.658,-0.0126,0.135,0.445,128.650,-0.518,1.382,25.325,-0.0124,0.033,0.605,128.650,-2.380,4.184,16.947,-0.0568,0.100,0.405
128.700,-0.214,-0.319,0.209,-0.0051,-0.008,0.005,,,,,,,,128.700,-0.066,-0.115,0.052,-0.0016,-0.003,0.001,,,,,,,,,,,,,,,128.700,0.035,-2.498,7.313,8.2500E-4,-0.060,0.175,128.700,-1.915,5.466,18.727,-0.0457,0.130,0.447,128.700,1.538,-2.759,-62.657,0.0367,-0.066,-1.496,128.700,-0.072,-8.257,-15.952,-0.0017,-0.197,-0.381,128.700,-0.207,6.309,4.503,-0.0050,0.151,0.108,128.700,-0.410,2.623,19.984,-0.0098,0.063,0.477,128.700,-2.154,5.110,20.927,-0.0514,0.122,0.500
128.750,-0.229,-0.309,0.227,-0.0055,-0.007,0.005,,,,,,,,128.750,-0.071,-0.110,0.105,-0.0017,-0.003,0.002,,,,,,,,,,,,,,,128.750,-0.083,-2.032,10.315,-0.0020,-0.049,0.246,128.750,-1.621,6.550,22.253,-0.0387,0.156,0.531,128.750,1.310,-5.807,-52.290,0.0313,-0.139,-1.248,128.750,-0.525,-8.535,3.194,-0.0125,-0.204,0.076,128.750,0.132,6.158,-11.345,0.0031,0.147,-0.271,128.750,-0.243,3.492,11.449,-0.0058,0.083,0.273,128.750,-1.879,6.273,24.609,-0.0449,0.150,0.587
128.800,-0.245,-0.298,0.262,-0.0058,-0.007,0.006,,,,,,,,128.800,-0.077,-0.105,0.157,-0.0018,-0.003,0.004,,,,,,,,,,,,,,,128.800,-0.173,-1.435,12.392,-0.0041,-0.034,0.296,128.800,-1.266,7.791,22.759,-0.0302,0.186,0.543,128.800,0.936,-8.189,-36.443,0.0224,-0.196,-0.870,128.800,-0.960,-7.833,19.757,-0.0229,-0.187,0.472,128.800,0.440,5.147,-26.337,0.0105,0.123,-0.629,128.800,-0.042,3.843,0.855,-0.0010,0.092,0.020,128.800,-1.535,7.639,26.023,-0.0366,0.182,0.621
128.850,-0.259,-0.283,0.297,-0.0062,-0.007,0.007,,,,,,,,128.850,-0.082,-0.094,0.175,-0.0020,-0.002,0.004,,,,,,,,,,,,,,,128.850,-0.229,-0.759,13.544,-0.0055,-0.018,0.323,128.850,-0.842,8.990,18.518,-0.0201,0.215,0.442,128.850,0.457,-9.608,-16.685,0.0109,-0.229,-0.398,128.850,-1.334,-6.388,31.870,-0.0318,-0.152,0.761,128.850,0.672,3.398,-37.909,0.0160,0.081,-0.905,128.850,0.162,3.597,-10.228,0.0039,0.086,-0.244,128.850,-1.117,9.037,22.794,-0.0267,0.216,0.544
128.900,-0.273,-0.267,0.314,-0.0065,-0.006,0.008,,,,,,,,128.900,-0.086,-0.084,0.140,-0.0021,-0.002,0.003,,,,,,,,,,,,,,,128.900,-0.250,-0.052,13.858,-0.0060,-0.001,0.331,128.900,-0.357,9.854,8.587,-0.0085,0.235,0.205,128.900,-0.066,-9.891,3.735,-0.0016,-0.236,0.089,128.900,-1.613,-4.477,39.340,-0.0385,-0.107,0.939,128.900,0.796,1.168,-44.209,0.0190,0.028,-1.055,128.900,0.338,2.775,-19.984,0.0081,0.066,-0.477,128.900,-0.624,10.153,13.177,-0.0149,0.242,0.315
128.950,-0.286,-0.251,0.314,-0.0068,-0.006,0.007,,,,,,,,128.950,-0.090,-0.079,0.070,-0.0021,-0.002,0.002,,,,,,,,,,,,,,,128.950,-0.234,0.649,13.422,-0.0056,0.015,0.320,128.950,0.167,10.043,-6.248,0.0040,0.240,-0.149,128.950,-0.570,-9.111,20.979,-0.0136,-0.217,0.501,128.950,-1.788,-2.330,43.145,-0.0427,-0.056,1.030,128.950,0.795,-1.236,-44.314,0.0190,-0.029,-1.058,128.950,0.456,1.492,-26.721,0.0109,0.036,-0.638,128.950,-0.079,10.598,-2.705,-0.0019,0.253,-0.065
129.000,-0.298,-0.236,0.349,-0.0071,-0.006,0.008,,,,,,,,129.000,-0.094,-0.079,0.017,-0.0023,-0.002,4.167E-4,,,,,,,,,,,,,,,129.000,-0.184,1.314,12.235,-0.0044,0.031,0.292,129.000,0.682,9.315,-23.230,0.0163,0.222,-0.555,129.000,-1.004,-7.566,32.411,-0.0240,-0.181,0.774,129.000,-1.849,-0.089,44.401,-0.0441,-0.002,1.060,129.000,0.668,-3.482,-38.188,0.0159,-0.083,-0.912,129.000,0.496,-0.047,-29.252,0.0119,-0.001,-0.698,129.000,0.473,10.032,-22.340,0.0113,0.240,-0.533
129.050,-0.309,-0.220,0.436,-0.0074,-0.005,0.010,,,,,,,,129.050,-0.097,-0.079,-0.017,-0.0023,-0.002,-4.167E-4,,,,,,,,,,,,,,,129.050,-0.101,1.901,10.245,-0.0024,0.045,0.245,129.050,1.133,7.655,-38.677,0.0270,0.183,-0.923,129.050,-1.338,-5.639,37.717,-0.0319,-0.135,0.900,129.050,-1.797,2.168,43.529,-0.0429,0.052,1.039,129.050,0.430,-5.246,-26.704,0.0103,-0.125,-0.637,129.050,0.451,-1.597,-27.122,0.0108,-0.038,-0.647,129.050,0.966,8.346,-41.609,0.0231,0.199,-0.993
129.100,-0.320,-0.194,0.541,-0.0076,-0.005,0.013,,,,,,,,129.100,-0.102,-0.079,-0.052,-0.0024,-0.002,-0.001,,,,,,,,,,,,,,,129.100,0.011,2.367,7.470,2.6250E-4,0.056,0.178,129.100,1.472,5.273,-49.724,0.0351,0.126,-1.187,129.100,-1.568,-3.639,38.467,-0.0374,-0.087,0.918,129.100,-1.630,4.346,39.951,-0.0389,0.104,0.954,129.100,0.116,-6.278,-11.746,0.0028,-0.150,-0.280,129.100,0.328,-2.911,-20.700,0.0078,-0.069,-0.494,129.100,1.341,5.702,-56.584,0.0320,0.136,-1.351
129.150,-0.330,-0.162,0.611,-0.0079,-0.004,0.015,,,,,,,,129.150,-0.105,-0.084,-0.087,-0.0025,-0.002,-0.002,,,,,,,,,,,,,,,129.150,0.141,2.670,4.014,0.0034,0.064,0.096,129.150,1.673,2.482,-55.257,0.0399,0.059,-1.319,129.150,-1.698,-1.723,36.809,-0.0405,-0.041,0.879,129.150,-1.356,6.294,32.516,-0.0324,0.150,0.776,129.150,-0.228,-6.451,4.119,-0.0054,-0.154,0.098,129.150,0.145,-3.780,-11.048,0.0035,-0.090,-0.264,129.150,1.557,2.445,-64.926,0.0372,0.058,-1.550
129.200,-0.336,-0.131,0.646,-0.0080,-0.003,0.015,,,,,,,,129.200,-0.110,-0.089,-0.087,-0.0026,-0.002,-0.002,,,,,,,,,,,,,,,129.200,0.284,2.786,0.070,0.0068,0.066,0.002,129.200,1.723,-0.429,-55.484,0.0411,-0.010,-1.325,129.200,-1.736,0.058,34.348,-0.0414,0.001,0.820,129.200,-0.986,7.770,20.333,-0.0235,0.185,0.485,129.200,-0.558,-5.801,18.413,-0.0133,-0.138,0.440,129.200,-0.071,-4.074,0.244,-0.0017,-0.097,0.006,129.200,1.593,-1.042,-65.869,0.0380,-0.025,-1.573
129.250,-0.342,-0.099,0.716,-0.0082,-0.002,0.017,,,,,,,,129.250,-0.115,-0.094,-0.070,-0.0027,-0.002,-0.002,,,,,,,,,,,,,,,129.250,0.427,2.686,-4.032,0.0102,0.064,-0.096,129.250,1.626,-3.220,-50.894,0.0388,-0.077,-1.215,129.250,-1.687,1.707,31.800,-0.0403,0.041,0.759,129.250,-0.553,8.498,3.718,-0.0132,0.203,0.089,129.250,-0.831,-4.487,29.461,-0.0198,-0.107,0.703,129.250,-0.284,-3.749,11.362,-0.0068,-0.090,0.271,129.250,1.448,-4.388,-59.429,0.0346,-0.105,-1.419
129.300,-0.347,-0.063,0.803,-0.0083,-0.002,0.019,,,,,,,,129.300,-0.119,-0.094,-0.070,-0.0029,-0.002,-0.002,,,,,,,,,,,,,,,129.300,0.561,2.372,-7.819,0.0134,0.057,-0.187,129.300,1.390,-5.671,-41.713,0.0332,-0.135,-0.996,129.300,-1.561,3.236,29.130,-0.0373,0.077,0.695,129.300,-0.102,8.241,-15.324,-0.0024,0.197,-0.366,129.300,-1.021,-2.717,36.617,-0.0244,-0.065,0.874,129.300,-0.465,-2.869,20.647,-0.0111,-0.069,0.493,129.300,1.137,-7.226,-46.164,0.0271,-0.173,-1.102
129.350,-0.349,-0.016,0.838,-0.0083,-3.750E-4,0.020,,,,,,,,129.350,-0.124,-0.099,-0.087,-0.0030,-0.002,-0.002,,,,,,,,,,,,,,,129.350,0.671,1.874,-10.786,0.0160,0.045,-0.258,129.350,1.040,-7.545,-28.344,0.0248,-0.180,-0.677,129.350,-1.360,4.639,25.639,-0.0325,0.111,0.612,129.350,0.309,6.938,-33.598,0.0074,0.166,-0.802,129.350,-1.111,-0.696,39.881,-0.0265,-0.017,0.952,129.350,-0.586,-1.576,26.843,-0.0140,-0.038,0.641,129.350,0.696,-9.200,-27.751,0.0166,-0.220,-0.662
129.400,-0.349,0.026,0.803,-0.0083,6.250E-4,0.019,,,,,,,,129.400,-0.129,-0.105,-0.087,-0.0031,-0.003,-0.002,,,,,,,,,,,,,,,129.400,0.752,1.251,-12.619,0.0180,0.030,-0.301,129.400,0.608,-8.618,-12.165,0.0145,-0.206,-0.290,129.400,-1.092,5.864,20.263,-0.0261,0.140,0.484,129.400,0.624,4.733,-47.909,0.0149,0.113,-1.144,129.400,-1.093,1.393,39.357,-0.0261,0.033,0.940,129.400,-0.630,-0.052,29.217,-0.0150,-0.001,0.698,129.400,0.178,-10.079,-7.400,0.0042,-0.241,-0.177
129.450,-0.346,0.063,0.750,-0.0082,0.001,0.018,,,,,,,,129.450,-0.135,-0.110,-0.035,-0.0032,-0.003,-8.333E-4,,,,,,,,,,,,,,,129.450,0.798,0.571,-13.212,0.0190,0.014,-0.315,129.450,0.145,-8.776,4.224,0.0034,-0.209,0.101,129.450,-0.765,6.770,12.130,-0.0183,0.162,0.290,129.450,0.803,1.927,-56.077,0.0192,0.046,-1.339,129.450,-0.968,3.367,34.959,-0.0231,0.080,0.835,129.450,-0.592,1.487,27.524,-0.0141,0.035,0.657,129.450,-0.352,-9.859,10.839,-0.0084,-0.235,0.259
129.500,-0.342,0.099,0.716,-0.0082,0.002,0.017,,,,,,,,129.500,-0.140,-0.110,0.035,-0.0033,-0.003,8.333E-4,,,,,,,,,,,,,,,129.500,0.809,-0.110,-12.636,0.0193,-0.003,-0.302,129.500,-0.300,-8.090,17.925,-0.0072,-0.193,0.428,129.500,-0.397,7.184,1.204,-0.0095,0.172,0.029,129.500,0.825,-1.121,-57.002,0.0197,-0.027,-1.361,129.500,-0.746,5.027,26.529,-0.0178,0.120,0.633,129.500,-0.474,2.833,21.904,-0.0113,0.068,0.523,129.500,-0.839,-8.786,23.876,-0.0200,-0.210,0.570
129.550,-0.336,0.136,0.663,-0.0080,0.003,0.016,,,,,,,,129.550,-0.146,-0.105,0.087,-0.0035,-0.003,0.002,,,,,,,,,,,,,,,129.550,0.785,-0.728,-11.030,0.0187,-0.017,-0.263,129.550,-0.685,-6.807,27.070,-0.0164,-0.163,0.646,129.550,-0.024,6.959,-11.380,-5.6250E-4,0.166,-0.272,129.550,0.686,-4.032,-50.458,0.0164,-0.096,-1.205,129.550,-0.448,6.158,14.242,-0.0107,0.147,0.340,129.550,-0.295,3.796,12.933,-0.0070,0.091,0.309,129.550,-1.246,-7.241,30.997,-0.0297,-0.173,0.740
129.600,-0.328,0.168,0.611,-0.0078,0.004,0.015,,,,,,,,129.600,-0.151,-0.099,0.087,-0.0036,-0.002,0.002,,,,,,,,,,,,,,,129.600,0.732,-1.241,-8.622,0.0175,-0.030,-0.206,129.600,-0.990,-5.210,31.503,-0.0236,-0.124,0.752,129.600,0.322,6.037,-23.649,0.0077,0.144,-0.565,129.600,0.404,-6.409,-37.245,0.0096,-0.153,-0.889,129.600,-0.105,6.561,-0.942,-0.0025,0.157,-0.023,129.600,-0.077,4.210,1.710,-0.0018,0.100,0.041,129.600,-1.565,-5.534,33.720,-0.0374,-0.132,0.805
